Date,Hort.06,Hort.07,Bvl.VII.1,PP.Peach.Avl,Bvl.PP.Pch.1,Bvl.PP.Pch.2,Avl.PP.1,Avl.PP.2,Bvl.VII.2
"Monday, April 20, 1981",,,,,,,,,NA
"Monday, April 27, 1981",,,,,,,,,NA
"Monday, May 04, 1981",,,,,,,,,NA
"Monday, May 11, 1981",,,,,,,,,NA
"Monday, May 18, 1981",,,,,,,,,NA
"Monday, May 25, 1981",,,,,,,,,NA
"Monday, June 01, 1981",,,,,,,,, 
"Monday, June 08, 1981",,,,,,,,,NA
"Monday, June 15, 1981",,,,,,,,,NA
"Monday, June 22, 1981",,,,,,,,,NA
"Monday, June 29, 1981",,,,,,,,,NA
"Monday, July 06, 1981",,,,,,,,,NA
"Monday, July 13, 1981",,,,,,,,,NA
"Monday, July 20, 1981",,,,,,,,,NA
"Monday, July 27, 1981",,,,,,,,,NA
"Monday, August 03, 1981",,,,,,,,,NA
"Monday, August 10, 1981",,,,,,,,,NA
"Monday, August 17, 1981",,,,,,,,,NA
"Monday, August 24, 1981",,,,,,,,,NA
"Monday, August 31, 1981",,,,,,,,,NA
"Tuesday, September 08, 1981",,,,,,,,,NA
"Monday, September 14, 1981",,,,,,,,,NA
"Monday, September 21, 1981",,,,,,,,,NA
"Monday, September 28, 1981",,,,,,,,,NA
"Tuesday, October 06, 1981",,,,,,,,,NA
"Tuesday, October 13, 1981",,,,,,,,,NA
"Friday, April 30, 1982",,,,,,,,,NA
"Friday, May 07, 1982",,,,,,,,,NA
"Friday, May 14, 1982",,,,,,,,,NA
"Friday, May 21, 1982",,,,,,,,,NA
"Friday, May 28, 1982",,,,,,,,,NA
"Friday, June 04, 1982",,,,,,,,,NA
"Friday, June 11, 1982",,,,,,,,,NA
"Friday, June 18, 1982",,,,,,,,,NA
"Friday, June 25, 1982",,,,,,,,,NA
"Friday, July 02, 1982",,,,,,,,,NA
"Friday, July 09, 1982",,,,,,,,,NA
"Friday, July 16, 1982",,,,,,,,,NA
"Friday, July 23, 1982",,,,,,,,,NA
"Friday, July 30, 1982",,,,,,,,,NA
"Friday, August 06, 1982",,,,,,,,,NA
"Friday, August 13, 1982",,,,,,,,,NA
"Friday, August 20, 1982",,,,,,,,,NA
"Friday, August 27, 1982",,,,,,,,,NA
"Friday, September 03, 1982",,,,,,,,,NA
"Friday, September 10, 1982",,,,,,,,,NA
"Friday, September 17, 1982",,,,,,,,,NA
"Friday, September 24, 1982",,,,,,,,,NA
"Friday, April 22, 1983",,,,,,,,,NA
"Friday, April 29, 1983",,,,,,,,,NA
"Friday, May 06, 1983",,,,,,,,,NA
"Friday, May 13, 1983",,,,,,,,,NA
"Friday, May 20, 1983",,,,,,,,,NA
"Friday, May 27, 1983",,,,,,,,,NA
"Friday, June 03, 1983",,,,,,,,,NA
